韩文程的会议室-说话人01(00:00:00): 两个地方我觉得可以明显一点。
刘书言(01:16:51): 如果说你希望他以企业身份来搞的话，这个东西上去以后电子签上去以后，他们需要对方也需要做企业认证，这个订单的这个流程的时间就会拉的很长，因为对方不一定会对方的企业不一定会想配合。

韩文程的会议室-说话人01(01:17:02): 我有个问题，淑媛这个问题不在于咱们想怎么要求，现在谁现在那个字节我们也是以企业的身份去购买的？我们签合同了吗？

刘书言(01:17:15): 我不知道。

韩文程的会议室-说话人01(01:17:18): 这些。

韩文程的会议室-说话人03(01:17:19): 之前你购买他不会有合同。对那合同好像一般是购买。

韩文程的会议室-说话人02(01:17:25): 没有。

韩文程的会议室-说话人03(01:17:26): 那边给你从后台传一个，我们这边。

韩文程的会议室-说话人02(01:17:30): 我们这些公司做电商的购买就购买没有变钱变的本来就跟变钱没关系。

韩文程的会议室-说话人03(01:17:39): 我们还搞合同吗**。

韩文程的会议室-说话人02(01:17:42): 我觉得你最终就是这个店。

韩文程的会议室-说话人03(01:17:44): 一钱可以扣？

韩文程的会议室-说话人02(01:17:48): 就看你们这边来评估，就是我们这边公司做电商的微信支付宝支付，但是没有用对公转账吗？

韩文程的会议室-说话人01(01:17:54): 他是不是个协议，不是个合同协议就可以买协议就可以？

韩文程的会议室-说话人02(01:17:59): 购买协议是可以加购买协议是有的。

韩文程的会议室-说话人01(01:18:01): 也是有的对。

韩文程的会议室-说话人02(01:18:02): 看不看那是你的事，然后我购买学习。

刘书言(01:18:03): 我感觉事，我感觉我们要想一下合同的存在的意义是什么？是怕人家跟我们扯皮还是干嘛？

韩文程的会议室-说话人01(01:18:11): 我觉得也是这样，因为咱们现在买 saas 的系统好像都没有合同，这一说？这个输给你留一个优先级比较高的遗留任务，然后我回去之后跟那个老板。

韩文程的会议室-说话人03(01:18:28): 我们这边的合同，所有的合同基本上都是比如字节那边给我们的报价。报价就给我们打多少折，我看下订单怎么？这个是电脑没那可能我们办的账号登吗？要买，我是没买。

韩文程的会议室-说话人01(01:18:53): 我也一次一次的给他们搞合同就会非常的麻烦。你看一条一条的已生效的。

韩文程的会议室-说话人03(01:19:01): 经常好像就没有。

韩文程的会议室-说话人01(01:19:02): 没有。

韩文程的会议室-说话人03(01:19:03): 这是你下载一下这是什么？我看一下4月14号有什么订单？

韩文程的会议室-说话人02(01:19:10): 要看最新的就行，最近有没有最近的平安天天？

韩文程的会议室-说话人03(01:19:15): 都是单方面的，这是我们买了一个 API。

刘书言(01:19:19): 火山那边他好像是可以根据订单去申请合同，不是说自动会给你发？

韩文程的会议室-说话人03(01:19:20): 你来说。

韩文程的会议室-说话人02(01:19:20): Thanks for. 

韩文程的会议室-说话人03(01:19:26): 对申请纸质版合同后面。

韩文程的会议室-说话人06(01:19:28): 有个这个那啥有一个。

韩文程的会议室-说话人01(01:19:29): 入口。

刘书言(01:19:33): 对如果说他不申请的话，其实也没有必要去我们硬给他强制绑定，让他去签个合同。

韩文程的会议室-说话人01(01:19:39): 那咱们能不能选这个说曾光你看一下。

韩文程的会议室-说话人02(01:19:43): 行吗你。

韩文程的会议室-说话人01(01:19:45): 哪里申请没有合同，你到那个地方你点合同？我管理的产品报价，这是我的，比方说这是啥报价你你下载。

韩文程的会议室-说话人03(01:19:59): 这个报价是，比如他给我们这个领导，这是5折的合同，他传代理的对代理合同。

韩文程的会议室-说话人02(01:20:07): 合同一般，你像正常是你们签约合同下单没有？

韩文程的会议室-说话人03(01:20:12): 你协议？

韩文程的会议室-说话人01(01:20:12): 协议。

韩文程的会议室-说话人02(01:20:13): 下单只有一个购买协议，对说你购买协议，但是购像现在你看，不管是淘宝支付，哪有说让你去搞一个。

韩文程的会议室-说话人01(01:20:13): 最后一个购买协议，比如说。但是说我觉得也我觉得按照这种情况管得了，就是咱们给客户如果客户买了或者啥的，咱们也有个这种记录，然后根据他的这个代理的这个价格，就我们不是5折吗？客户这边不也有吗？证件的正价，然后如果代理费用，没有代理费用，对于客户来说都是一样。我们有个电子的记录，他如果现在只是合同的话再走流程。

韩文程的会议室-说话人01(01:20:46): 就现在我们？

韩文程的会议室-说话人03(01:20:49): 要看我们那边。

韩文程的会议室-说话人01(01:20:52): 我觉得按照这种方式来管。

韩文程的会议室-说话人03(01:20:54): 他就是按照这种方式管的。

韩文程的会议室-说话人01(01:20:56): 是个逻辑吧，现在不是人家都自己要自己上传。

韩文程的会议室-说话人03(01:21:00): 也是。

韩文程的会议室-说话人01(01:21:01): 这你能不能上传，是你买一笔他就有没有。

韩文程的会议室-说话人03(01:21:04): 没有这个这些东西我给你看，是我们韩总跟那个火山那边聊完之后他给你的，他给你，他说。那你给什么什么整个？

韩文程的会议室-说话人01(01:21:23): 那怎么整个咱之前那个蓝光宝不是有个账号吗？是在签合同之前我们注册这个账号，我们自己花钱买的吗？那个账号能不能在那里看看他里面有没有？

韩文程的会议室-说话人03(01:21:32): 懒得找他。

韩文程的会议室-说话人02(01:21:33): 主账号你咋没有？2楼拉上没有吗？我没有。

韩文程的会议室-说话人03(01:21:37): 我好像有你你我好像有一个控制我这有。

韩文程的会议室-说话人02(01:21:39): 对我这有。

韩文程的会议室-说话人03(01:21:41): 你那有吧，你打开看一下。

韩文程的会议室-说话人02(01:21:43): 那么。

韩文程的会议室-说话人03(01:21:44): 对产品报价合同基本都是产品报价合同。对没有因为这基本没有一个订单，对不可能订单产只有产品报价，这是你在问人家那个火山云的那个 API 我的刚那个东西。

韩文程的会议室-说话人01(01:22:02): 我觉得要不按照这种方式来我们给他一回一回签合同太痛苦了。都会。跟你是一样的。

韩文程的会议室-说话人03(01:22:22): 你是不是进一个账号是，这人工保不是保的？

韩文程的会议室-说话人01(01:22:26): 是的。

韩文程的会议室-说话人03(01:22:27): 这云精致的明显是云精致的一个拍照，因为因为这里面对了解。蓝恩宝有卖火山的合同吗？

韩文程的会议室-说话人01(01:22:47): 你去右边看一下工具，右边费用对合同管理。

韩文程的会议室-说话人02(01:22:52): 这就是这个账号，这能买上吗？就是王总，他就是微信那个。数学你看。

刘书言(01:23:01): 他那个账号，我看得到。

韩文程的会议室-说话人03(01:23:02): 看到吗。我觉得就很好吃来，反正如果一个月买，现在就是在前端，我们这么改给他看下前端。

刘书言(01:23:08): 它下载下来是什么？那个席位加了你把有些没开的开一下。

韩文程的会议室-说话人03(01:23:20): 对客户管理员对刚刚那客户。

刘书言(01:23:21): 该发邮件等会他刚才那个合同下载下来是什么，我看一下。

韩文程的会议室-说话人01(01:23:27): 那是咱作为企业跟火山签的代理协议？

刘书言(01:23:33): 我笑了。

韩文程的会议室-说话人03(01:23:38): 不是？

刘书言(01:23:38): 只有火山一个招！

韩文程的会议室-说话人03(01:23:42): 这里是明这里是暗往下看，不会觉得那很东西。这是刚刚给你看的域名？

韩文程的会议室-说话人01(01:23:48): 我上来。

刘书言(01:23:48): 他合同没有用，他这合同没有法律效力？

韩文程的会议室-说话人01(01:23:52): 你如果想要申请纸质合同，你可以下载下来，自己盖章。

刘书言(01:23:58): 我懂你意思了，我们也跟他一样，然后先把自己的章盖上，然后给他们？

韩文程的会议室-说话人01(01:24:04): 对这意思钱我收着了，这笔合同是我认可，然后合同条款我也不用跟你去协商，你就按我的来。

刘书言(01:24:11): 那你要做那单天盖接电灯就更快了。

韩文程的会议室-说话人01(01:24:19): 我觉得咱们就按这个方式来，我们是个大的**我们不是个定制。我要跟你去协商，你买我上的产品就遵守我的约定！

刘书言(01:24:32): 不，他刚刚才的是代理那普通用户的那种，也需要申请合同吗？

韩文程的会议室-说话人01(01:24:37): 哪个用户。

刘书言(01:24:39): 刚刚才刚才增光看是代理合同吗？不是我们。

韩文程的会议室-说话人03(01:24:43): 用户没有，我们在佛山也没有合同。

刘书言(01:24:46): 只针对代理有合同？

韩文程的会议室-说话人03(01:24:51): 代理现在代理好像我们代理看不到。

韩文程的会议室-说话人02(01:24:54): 对带着他们的合同，现在合同全只有科科长才能看。

韩文程的会议室-说话人03(01:24:56): 只能用户这？

韩文程的会议室-说话人01(01:24:58): 那我觉得就不要整合用户那边可以看到这个东西，就是用户这边可以看到我们单方面的这个合同。如果用户需要的话，那你就申请纸质合同。自己。

韩文程的会议室-说话人03(01:25:10): 你用户这边还需要一条吗？我们也不需要合同了，我觉得？

韩文程的会议室-说话人02(01:25:16): 太需要了？

韩文程的会议室-说话人03(01:25:18): 用户他买就买了最多你有个发票就够了，你确定？

韩文程的会议室-说话人01(01:25:25): 确定购买关系嘛对。

韩文程的会议室-说话人03(01:25:27): 对。

韩文程的会议室-说话人01(01:25:27): 对他的目的是确定购买关系嘛，对。

韩文程的会议室-说话人02(01:25:29): 主要是你沟通，基本应该代理和他都已经签好合作的线索，没啥关系。

韩文程的会议室-说话人01(01:25:36): 你假如说有的他妈的一个月只买个210块钱一个月的席位。

韩文程的会议室-说话人03(01:25:41): 对没意义。

韩文程的会议室-说话人01(01:25:42): 对我也没意见。

刘书言(01:25:42): 我感觉要不这个合同先这期先不上，然后后面我们收集一下用户反馈多的话再考虑接电子签再上？

韩文程的会议室-说话人01(01:25:50): 可以的，我觉得是这样的。

韩文程的会议室-说话人02(01:25:53): 那就合同先隐藏吧我们。

韩文程的会议室-说话人01(01:25:55): 咱们代理合同也不用管代理合同，到时候咱们只直接存在公司得了。

韩文程的会议室-说话人02(01:26:00): 因为这种合同。

刘书言(01:26:01): 对是我感觉也是代代理，就直接公司处理就行了。

韩文程的会议室-说话人01(01:26:06): 我写完之后准时咱们。

韩文程的会议室-说话人03(01:26:08): 只是单面机构可以让财务他们去处理这个事情对行。

韩文程的会议室-说话人01(01:26:11): 可以让财务他们去处理这个事情。

韩文程的会议室-说话人02(01:26:14): 那就管，那就合同，我们就不管了先。

韩文程的会议室-说话人01(01:26:16): 对我觉得晚上我跟韩总也说一下，整个什么**电子签的没有场景。

韩文程的会议室-说话人02(01:26:24): 反正我们之前公司做支付的购买没有这玩意。

韩文程的会议室-说话人01(01:26:29): 连火山也没有了？

韩文程的会议室-说话人02(01:26:31): 购买你跟他和啥对没关系，你有的时候涉及到支付还要不支付？你可以随便创名单。那这个客户的也就没啥了，够交付运维，也没什么交付运维，刚才也说了这个交付功能。是交付工单，就刚才说的，他只要支付了，就会产生一笔工单，或者最后他有两个场景，也会一个是微信支付成功之后会创建一笔工单，另一种就是说我对公的话就是最后审核确认已完毕，那个状态时候产生一笔工单。

韩文程的会议室-说话人01(01:27:12): 然后咱的交付人员去把它开通，好了之后交付人员在这边点确定。

韩文程的会议室-说话人02(01:27:16): 对，然后交货人员就在这里点确定，确定完之后这笔订单相当于给他已开通了。

韩文程的会议室-说话人01(01:27:23): 会去计算我们交付人员是哪个人交付的？

韩文程的会议室-说话人02(01:27:26): 有了？

韩文程的会议室-说话人01(01:27:27): 有的。

韩文程的会议室-说话人02(01:27:28): 我们现在交互规则是这样的，我每次创建第一次创建订单的时候，我会从这个交互运维里边这个池子里边轮着去拿一个人员给他绑到这个订单上面。

韩文程的会议室-说话人01(01:27:42): 可以的。

韩文程的会议室-说话人02(01:27:43): 云的流行的话，我就是创建订单，下一个分配单再一个分配给他就轮询的，然后我分配给你之后，以后也在创建的所有订单都分配给这个。就不用了，归在里边了。

韩文程的会议室-说话人01(01:27:55): 我最近在搞大家以后的提成。我到时候可以把给他算进去。

韩文程的会议室-说话人03(01:28:03): 交费会有提成吗？

韩文程的会议室-说话人01(01:28:06): 到时候我弄一个这个提成包里面包含了这个标准产品的交付，定制化产品的交付，然后还有咱们这些咱们这边后后台的一些服务人员，因为后边如果产生一些什么定制化的整体产品解决方案，你们在里边都是有参与度的，根据不同的参与度的时候，咱们去分提成前前后后都可以。

韩文程的会议室-说话人02(01:28:31): 他这个流程也没啥问题。这边就没啥，这边都跟他们一样。就对公审核的流程，对公审核流程就是交关人员对公审核就是我在微信支付下边不是对公审核吗？没问题，第一笔就先到这里。然后我就会录入流水号，当时韩总说的确认一下这个流水号会不会有重复，这里就会校验。

韩文程的会议室-说话人01(01:28:56): OK 对。

韩文程的会议室-说话人02(01:28:56): 然后剩下就比如说没有问题就点确认就到财务那里 OK 如果有问题就直接给驳回到客户。

韩文程的会议室-说话人01(01:29:03): 流水录入流水号录入要谁录入？

韩文程的会议室-说话人02(01:29:06): 就不因为韩总的说为什么要有这个流程，就是他怕比如说我支付了一笔，我上传两次，那这个流程不校验的话，就可能导致有些人上传两次。

韩文程的会议室-说话人01(01:29:18): 怎么会支付一笔生产两次，你流水号能不能自动生成？

韩文程的会议室-说话人02(01:29:23): 这个流程不是流程，是支付流程，是对公转账流程就他那发票的对公转账。

韩文程的会议室-说话人03(01:29:26): 对他那个发票上对公转账那发票上的一个流水号。

韩文程的会议室-说话人01(01:29:30): 那能不能自动贴过来？

韩文程的会议室-说话人02(01:29:32): 送下嘛。

韩文程的会议室-说话人01(01:29:33): 你加个 OCR 吧！

韩文程的会议室-说话人03(01:29:36): 设计前的规划。

韩文程的会议室-说话人02(01:29:37): 你还是手动！

韩文程的会议室-说话人03(01:29:38): 有误差的嘛，他意思他的意思就是让教辅人员。

韩文程的会议室-说话人02(01:29:42): 那你还不如因为这个玩意流程化，你最好还是校验一下吧，如果说你校验也。

韩文程的会议室-说话人01(01:29:48): 他支付的时候咋会？

韩文程的会议室-说话人02(01:29:50): 对公转账。

韩文程的会议室-说话人01(01:29:50): 我知道对公转账截图，他的手机号。

韩文程的会议室-说话人02(01:29:54): 对。

韩文程的会议室-说话人01(01:29:55): 截图怎么会到销售里边，你要问到销售里边？

韩文程的会议室-说话人02(01:29:58): 还有先交付人员这边先审批一次。

韩文程的会议室-说话人01(01:30:02): 对你说看是给交付还是给销售，然后这边说还有凭证吗？我看你那边有。

韩文程的会议室-说话人03(01:30:08): 上传支付凭证。

韩文程的会议室-说话人02(01:30:09): 对上传客户名的其实就是到这边。

韩文程的会议室-说话人03(01:30:12): 就凭证的就是对。

韩文程的会议室-说话人02(01:30:14): 对就假设我有凭证，我就上传他录的地方就是审核一下这个。凭证流水号有没有重复的？

韩文程的会议室-说话人01(01:30:23): 把那个地方粘过来。

韩文程的会议室-说话人02(01:30:24): 对因为就是为了相当于从我们库从我们这个数据里边，然后现在是有个唯一校验，就是你这个支付流程，也有了以后你再重新上传这个图片，我只要录入进来，我就不给你往下走。

韩文程的会议室-说话人01(01:30:36): 我可不可以理解为你是让交付干了 OCR 识别的事？

韩文程的会议室-说话人03(01:30:43): 因为。

韩文程的会议室-说话人01(01:30:44): 因为你前面客户上传的这个支付凭证，你现在让这个交付去看这个支付凭证，然后把这个流水号录过来，那不就是个 OCR 的事吗？交付人员他也没有办法去确认这个图片里面这个真实性，我们只是多了一个这个流水号变成咱们这个系统里面自带的这么一个过程，你最终这个钱到没到得财务去确认。

韩文程的会议室-说话人02(01:31:09): 所以说他。

韩文程的会议室-说话人01(01:31:09): 所以说他这个录入流水号，他就是在咱们公司的系统里面有一个字段，所以你就是让交付干的他里面流水号识别变成咱们系统里面的一个字段的活，那他这个事为啥不可以让那个 OCR 干？

韩文程的会议室-说话人03(01:31:28): 对。

刘书言(01:31:29): 咱没有咱没有现成的 OCR 系统吧？

韩文程的会议室-说话人01(01:31:32): 识别了我现。

韩文程的会议室-说话人03(01:31:33): OCR 要去接嘛，就 OCR 你，因为你它不同银行的。

韩文程的会议室-说话人01(01:31:41): 所以我觉得你得，所以我觉得识别了，我怕。

韩文程的会议室-说话人02(01:31:44): 识别我怕中国银行的我现在没有，我现在都不知道 OCR。

刘书言(01:31:46): 先那个手填吧，第一个版本先手填吧，然后后面后面我们找一下 OCR，然后看看看跟哪个 OCR 合作。

韩文程的会议室-说话人02(01:31:49): oc 外边都是什么，我读取什么文字？

韩文程的会议室-说话人01(01:31:55): 因为可能手机截图有。

韩文程的会议室-说话人03(01:31:57): 没有这个东西其实韩总给蓝宝好像是做过一个新模型。

韩文程的会议室-说话人01(01:32:04): 我想识别。

韩文程的会议室-说话人03(01:32:05): OCR 视频模型今天晚上可以跟他对一下这里是否真的需要下去做？然后韩总他之前搞过的，但是那个东西，好像还是有一个定误差带我觉得你你。

韩文程的会议室-说话人01(01:32:19): 我明白你的意思，你你他当时搞的那个好像是截图的真实性。

韩文程的会议室-说话人03(01:32:23): 你是不是一个东西，他也是把提取出来，然后做一些。

韩文程的会议室-说话人01(01:32:32): 对我的意思这样子这块咱们打个问号。如果说咱们，我觉得可以再简单一点。不要上 OCR 了，你把录入流水号前置到他上传支付凭证里面去。

韩文程的会议室-说话人02(01:32:48): 上传之后凭证。

韩文程的会议室-说话人03(01:32:49): 让他。

刘书言(01:32:50): 我感觉操作不太妥，你让用户传还不如让我们自己上传！

韩文程的会议室-说话人02(01:32:51): 大哥。用户他可以把流水号直接和图片不一样，你肯定要考虑的。

韩文程的会议室-说话人01(01:33:00): 可能填错。

韩文程的会议室-说话人02(01:33:01): 对他乱填，我就是让你上填这个东西我们必不可免，就是虽然他是企业，但是总会有这种用。

韩文程的会议室-说话人01(01:33:08): 我觉得录入流水号这个工作都显得很，你说咱以后交付的工作流程搞得又稀碎。

韩文程的会议室-说话人02(01:33:18): 本来现在这些很多。

韩文程的会议室-说话人03(01:33:20): 对以前很多。

韩文程的会议室-说话人02(01:33:21): 现在其实也挺多的，我跟你们讲也讲了好多，你看我什么什么，我开发的时候。

韩文程的会议室-说话人03(01:33:26): 加利亚小说。

韩文程的会议室-说话人03(01:33:29): 到时候要培训对因为到时候培训他们都很。

韩文程的会议室-说话人02(01:33:30): 对因为，但是他们的，但是我考虑到很多那个点，你没办法跟他。

韩文程的会议室-说话人03(01:33:34): 你因为你你关了钱之后，你就必须小心又小心。

韩文程的会议室-说话人02(01:33:39): 对你说你录入这行，你要不要给他驳回，那肯定有驳回的原因，你有确定不一定有啥有不确定，那你不确定还要搞这种驳回都做了，现在都已经在做了。

韩文程的会议室-说话人03(01:33:55): 行是我觉得确实有道理，刚刚刚来了，韩总对讨论一下这个事。流程号可能需要做吗？这边差不多。

韩文程的会议室-说话人01(01:34:02): 这些用户对公转账他不是会上传一个支付凭证吗？咱们原先定的是让运维在这边把支付凭证打开，把这个流水号录进去，录到咱们系统里面，就可以根据这个流水号去做这个每一条记录的校验去重嘛，对，然后我刚刚跟他讨论的就是说那这个这么一个简单的事，为什么不能让 OCR 去做，把它前置到客户上面凭证那边？

韩文程的会议室-说话人02(01:34:11): 录到咱们系统里面。

韩文程的会议室-说话人06(01:34:16): 去做每一条记录的校验去重！可以 OCR 去做，但是问题在于不是那不还要时间吗？你非用 OCR 这不过更好，还是让财务去填嘛。

韩文程的会议室-说话人02(01:34:38): 或者现在是交运维，现在交运维当时说交运维先审一下。

韩文程的会议室-说话人06(01:34:41): 都是买一样的一。

韩文程的会议室-说话人02(01:34:43): 就不应该先过一遍，没问题才问我。

韩文程的会议室-说话人01(01:34:45): 我觉得是啥，因为后边咱的批量很大的话，这边因为这个事变成额外的工作。

韩文程的会议室-说话人06(01:34:50): 转录。

韩文程的会议室-说话人01(01:34:53): 因为咱们就讲 dc 原理的目的只有一个，就是把它的流水号识别出来，变成咱们系统里面的一个字段，咱们系统里面可以去做去除。这个目的。

韩文程的会议室-说话人02(01:35:06): That was. I do with that. 

韩文程的会议室-说话人06(01:35:09): 反正找找找个别重复给咱，别让你一个一个什么重复给咱们。

韩文程的会议室-说话人01(01:35:15): 都一个用户，我看你还没给我发，我再上传，直接跟系统干爆了。

韩文程的会议室-说话人06(01:35:18): 直接跟系统干爆了。

韩文程的会议室-说话人01(01:35:22): 你们研究。

韩文程的会议室-说话人02(01:35:25): 对到时候我们到时候看整个按时间没有时间就先第一版先这样，反正后面就改一版。我们后来这个这边。

韩文程的会议室-说话人03(01:35:32): 那我们现在手上没有不同银行的支付凭证，这是最简单的你你你去做一下。

韩文程的会议室-说话人01(01:35:40): 你先收集点信息，后面快速迭代事。咱们的目的都是为了让之后咱们的每。

韩文程的会议室-说话人06(01:35:47): 这套服务是都可以最高效做的咋样？现在？

韩文程的会议室-说话人02(01:35:53): 基本就是现在整体大框架没什么问题，有几个。

韩文程的会议室-说话人01(01:35:55): 整体大框架没什么问题，有几个模块，里边的一些内容改了一下，第一个是给咱整体看流水的那个地方。我们整体看我们有多少客户累计多少客户，新增多少客户知道在概念上。

韩文程的会议室-说话人02(01:36:15): 代理吗？对代理，这是以前的版本，现在代理这一块要调整，还有代理佣金规则的，还有一个。

韩文程的会议室-说话人01(01:36:22): 一个变种粉，它是合同。火山没有活动？然后其他的三个系统基本上没有合同。咱们还要不要搞？

韩文程的会议室-说话人06(01:36:31): 怎样搞，咱怎样搞我还有我还没有。

韩文程的会议室-说话人01(01:36:35): 咱们和火山的合同是代理，如果你买一个月，比方说你买10个席位买20个席位，这是没有合同的。

韩文程的会议室-说话人06(01:36:41): 不是你知道对我说这个我们就是就我，但咱跟每个客户可以都跟咱代理合同一样签的合同，我是合同，我认有合同的形式。你不知道你，你你是想不想给客户互动，还是想给客户互动？

韩文程的会议室-说话人01(01:36:55): 想给客户合作，但是不用双签单签就是我们给客户一个镖人版的合同，对如果客户需要的话，你可以申请纸质合同跟红色都是一样。

韩文程的会议室-说话人06(01:37:02): 跟我们的不是一样对跟全网是一样的。

韩文程的会议室-说话人01(01:37:06): 对我们给他们提供的是不是？

韩文程的会议室-说话人06(01:37:07): 不是。

韩文程的会议室-说话人02(01:37:07): 因为现在这个合同是这样的，现在合同是在企业管理里边，然后有个。

韩文程的会议室-说话人01(01:37:13): 没你这个钱？

韩文程的会议室-说话人02(01:37:14): 对每一个公司都要去上传他对应的合同。

韩文程的会议室-说话人01(01:37:17): 没必要。

韩文程的会议室-说话人02(01:37:19): 现在是这样的，每一个公司下面，然后对应的新增合同客户这里才能去看到。

韩文程的会议室-说话人01(01:37:24): 我们就跟火山一样，提供单方面他们万一有需求，因为大部分是没有需求的，万一有需求的话，他们有个口子去向我们提出申请就可以。

韩文程的会议室-说话人02(01:37:25): 单方面他们万一有需求。

韩文程的会议室-说话人01(01:37:33): 对还有佣金结算模块的话简化了一下，你把佣金结算。

刘书言(01:37:40): 那合同这块儿那合合合同这块儿跟刚才说的不太一样了，那后面是这期上还是不上？

韩文程的会议室-说话人01(01:37:47): 这一期上就是我们可以先按照这个模式去把这个调整，如果后面客户要的合作，这个需求很大，我们就尽快给他上了。第一期以我们主要主营业务为目的。

刘书言(01:38:01): 行。

韩文程的会议室-说话人06(01:38:03): 现在客户不想要合同，就不想要合同打个两轮游戏嘛！

韩文程的会议室-说话人01(01:38:09): 然后你把佣金的界面打开佣金？对现在这个佣金还是稍微有点复杂的，就是得确认在干嘛，我们讲的就是像那个网页上那个一样销售只需要看到这个两个数值。第一个的话是什么？就是我这个叫预计佣金就是有些客户他没有使用满一个月，咱们公司其实还没有入账的，我们入账了，但是可能会产生退款。

韩文程的会议室-说话人03(01:38:36): 对。

韩文程的会议室-说话人01(01:38:36): 就30天内这个风险30天以内的都是预计佣金三十天以后咱们公司确认这笔账单没有风险入账了，然后我们给销售结算佣金，这个叫可提现佣金。

韩文程的会议室-说话人06(01:38:48): 就这两个金额对。

韩文程的会议室-说话人01(01:38:48): 就这两个金额？后边的话让销售一键提现。是一个？

韩文程的会议室-说话人02(01:38:54): 这里就可能稍微多一点。其他的好像。

韩文程的会议室-说话人01(01:39:02): 现在。

韩文程的会议室-说话人02(01:39:02): 其他基本没啥。

韩文程的会议室-说话人01(01:39:03): 那就没有问题对。

刘书言(01:39:04): 其他都没改。

韩文程的会议室-说话人02(01:39:04): 对那大致的我们。对其他的就没啥改的。

韩文程的会议室-说话人01(01:39:09): 对这边就是一些展示的就是数值调一数值维度调一调，让那个比方说飞友如果要看你这边，如果要看的话，可以非常直观，简单，然后包括图表一类的，其他别的我也都无所谓。

韩文程的会议室-说话人02(01:39:12): 对这边是反复的一些。是其他的。

韩文程的会议室-说话人06(01:39:25): 他们给的接口目前给一部分吗？还是啥都没给？

韩文程的会议室-说话人02(01:39:29): 都没他们之前上周都跟他们要他们所有的东西都是拖到5月，都拖不到5月中旬席位用户，他们要不就是在排期，要么是在评估在都问过他们开了两次会跟他们要。

韩文程的会议室-说话人01(01:39:52): 你看能不能多一点信息，比方说我们分信息分三个阶段，第一个你们哪些是在开发的，你们的开发的一些比方说这个产品就是你开发的这个需求的这个手册或者需求的描述，能不能同步给我们也提前准备。第二个的话，已经在开发中的这些阶段都开发好了，你就直接发给我，让我们来对最后一个的话，哪些是在待排期的，我们把这个三个状态跟他们这么对。

韩文程的会议室-说话人02(01:40:19): 他们基本开开发有的那种我当时对过。

韩文程的会议室-说话人01(01:40:24): 最高了。

韩文程的会议室-说话人02(01:40:25): 对，然后像他好多基本都是在排期中或者都没有开发回来口子就他们文档都没有，那么就他只有之前咱发的那块文档。

韩文程的会议室-说话人01(01:40:35): 明白。

韩文程的会议室-说话人02(01:40:35): 对还有他好像现在要不就是新的文档就只发了一个链接，就也不是我们现在主抓的那些。

韩文程的会议室-说话人01(01:40:42): 明白我多例子，你多推荐你7个东西，不要等到咱们最后很被动，一把风，比方说甩给你一二十个 API 你去搞你也很痛苦。

韩文程的会议室-说话人06(01:40:52): 14号铺设一下。

韩文程的会议室-说话人02(01:40:55): 行因为我看我今天问他们要租户的还没人理我。

韩文程的会议室-说话人01(01:41:01): 你在群里可以多多骚扰他，没关系的。

韩文程的会议室-说话人02(01:41:05): 但是讲对。

韩文程的会议室-说话人01(01:41:06): 对 sorry 对给他们上点压力嘛，对！

韩文程的会议室-说话人03(01:41:08): 给他们上点压力。

韩文程的会议室-说话人02(01:41:12): 没有都是。

韩文程的会议室-说话人01(01:41:12): 每只手都是？

韩文程的会议室-说话人02(01:41:16): 其他的还要不要再看一下？

韩文程的会议室-说话人06(01:41:19): 能用就行，东西。

韩文程的会议室-说话人02(01:41:21): 基本就是所有的今天。

韩文程的会议室-说话人01(01:41:24): 先跑起来吧，快速迭代！

韩文程的会议室-说话人02(01:41:24): 快速迭代，实话实说！

韩文程的会议室-说话人06(01:41:26): 对细节可以再优化，对到时候能用，能让人付款，能买就行。

韩文程的会议室-说话人02(01:41:34): 因为只要他买完之后所有的东西后边现在这种都不是咱的事，对佣金这些有时候有问题，我们其实所有都可以做调整。对有问题的，比如说产生问题的，其实都可以做到，只要他们购买，我们有这个购买记录，所有东西都能去做。

韩文程的会议室-说话人01(01:41:46): OK 只要他们购买。

韩文程的会议室-说话人01(01:41:52): 咱们这个系统只负责承担之后的流程。就客户购买之后的流程，客户购买之前在咱们 CI M 这个环节。

韩文程的会议室-说话人02(01:41:59): 对。

韩文程的会议室-说话人01(01:42:01): Ok. Ok. 

刘书言(01:42:02): 增光你们开会喜欢在吗？

韩文程的会议室-说话人02(01:42:06): 徐安没有他，他在忙，那到时候我给他说一下。

刘书言(01:42:12): 对你那个你你你会后你跟测试讲一下，就是这个你们会后要改的那个代理商佣金那些东西就先不测嘛，可以让他先测试了。

韩文程的会议室-说话人02(01:42:23): 对因为我们今天改基本就代理商佣金那里，到时候我再说一下，测的时候先说测一下佣金那里有点逻辑改动，其他的其他东西没动。

刘书言(01:42:23): 保保障一下进度。对就刚刚才那个代代理商代理商的那个佣金逻辑的一个转变，还有那些表那些改动得李磊设计完了以后你们抓紧时间改一下吧。

